"Geneid","NT_shRNA_hepg2_rep1","NT_shRNA_hepg2_rep2","TARDBP_shRNA_hepg2_rep1","TARDBP_shRNA_hepg2_rep2"
"ENSG00000116670.14_3",229,306,155,142
"ENSG00000177674.15_5",191,251,283,249
"ENSG00000177000.12_6",211,211,308,277
"ENSG00000011021.22_4",1617,1926,2663,2553
"ENSG00000116685.15_2",1314,1803,1621,1564
"ENSG00000083444.16_2",4462,6260,10058,9271
"ENSG00000116688.16_4",1798,2240,1676,1615
"ENSG00000116691.10_2",186,273,149,179
"ENSG00000028137.18_3",8,2,3,3
"ENSG00000048707.15_5",989,1128,956,786
"ENSG00000229484.1_5",3,8,5,5
"ENSG00000162496.8_2",436,611,813,701
"ENSG00000272482.1_5",14,21,20,15
"ENSG00000179172.9_3",21,36,6,5
"ENSG00000116731.22_3",798,782,613,648
"ENSG00000189337.16_5",1378,1406,1404,1377
"ENSG00000175147.12_5",132,171,132,141
"ENSG00000171729.13_2",449,585,332,309
"ENSG00000142634.12_2",557,712,459,419
"ENSG00000132906.17_3",160,212,185,138
"ENSG00000116138.12_2",915,875,1021,1009
"ENSG00000272510.1_5",5,12,14,25
"ENSG00000116771.5_2",1654,2289,1634,1486
"ENSG00000235084.3_4",7,12,6,4
"ENSG00000197312.11_3",1770,2260,1424,1250
"ENSG00000116786.12_4",918,1038,711,675
"ENSG00000162461.7_2",1,3,3,5
"ENSG00000224459.1_5",5,5,1,0
"ENSG00000162460.6_2",3,7,3,1
"ENSG00000162458.12_4",803,775,380,409
"ENSG00000224321.1_4",9,8,6,6
"ENSG00000233954.6_2",108,102,85,109
"ENSG00000178715.8_5",2,7,12,9
"ENSG00000179743.4_5",21,26,38,28
"ENSG00000065526.10_2",4190,5061,3833,3632
"ENSG00000116809.11_2",422,453,322,270
"ENSG00000183888.4_3",302,372,220,193
"ENSG00000173641.17_5",3,8,1,1
"ENSG00000142627.12_2",1544,1957,1451,1254
"ENSG00000227959.1_5",2,10,5,6
"ENSG00000224621.1_5",3,0,4,6
"ENSG00000142632.16_3",56,48,23,29
"ENSG00000237276.8_4",6,3,8,1
"ENSG00000204377.3",4,5,3,3
"ENSG00000132881.11_3",6,5,5,6
"ENSG00000037637.10_3",313,344,318,337
"ENSG00000055070.16_2",2232,2332,1611,1559
"ENSG00000187144.11_2",40,40,94,97
"ENSG00000157191.19_2",653,722,481,464
"ENSG00000226029.1_4",13,11,17,13
"ENSG00000080947.14_2",117,138,142,119
"ENSG00000219481.10_3",2602,2674,3601,3536
"ENSG00000215908.10_3",794,1175,1003,883
"ENSG00000186301.8_2",1654,2578,2328,1989
"ENSG00000236698.1_4",16,11,5,7
"ENSG00000268869.5_2",11,25,27,13
"ENSG00000058453.16_3",99,154,116,91
"ENSG00000186715.11_3",418,623,540,421
"ENSG00000117122.13_5",159,127,125,109
